richiesta_id,cliente_id,fornitore_id,operatore_id,data_apertura,data_chiusura,stato,priorita_richiesta,importo_base,iva_22,importo_totale,tempo_chiusura_giorni,prolungata,nome_operatore,ruolo,categoria_servizio_x,zona_x,seniority,capacita_massima,richieste_attive,saturazione,latitudine,longitudine,zona_y,settore,data_iscrizione,fascia_cliente,nome,categoria_servizio_y,zona
21,280,585,4,30/11/2024,04/12/2024,Chiusa,Bassa,2292,50424,279624,4,False,Francesca Bianchi,Talent Acquisition Specialist,Risk Management,Centro,Mid,8,6,0,75,419800,Nord,Reinsurance,16/03/2024,Medium,Career Advisory,IT,Nord
22,204,576,4,27/09/2025,15/10/2025,Conclusa,Media,7005,15411,85461,18,False,Francesca Bianchi,Talent Acquisition Specialist,Risk Management,Centro,Mid,8,6,0,75,419800,Nord,Finance,13/02/2024,Medium,Alpha Talent Network,Finance,Nord
23,144,348,4,18/11/2025,31/12/2025,Completata,Alta,14288,314336,1743136,43,True,Francesca Bianchi,Talent Acquisition Specialist,Risk Management,Centro,Mid,8,6,0,75,419800,Nord,Real Estate,28/03/2024,Small,Global Recruitment Services,Risk Management,Nord
24,585,314,4,13/05/2024,09/06/2024,Chiusa,Alta,12766,280852,1557452,27,True,Francesca Bianchi,Talent Acquisition Specialist,Risk Management,Centro,Mid,8,6,0,75,419800,Nord,Consulting,29/04/2026,Enterprise,Recruiting Solutions,IT,Nord
25,418,56,5,12/03/2025,23/03/2025,Conclusa,Media,7725,16995,94245,11,False,Alessandro Romano,Account Recruiter,Sales,Sud,Senior,12,2,0,17,406401,Sud,Insurance,11/11/2025,Medium,Alpha Talent Network,Risk Management,Sud
26,536,343,5,20/06/2024,14/07/2024,Completata,Media,6763,148786,825086,24,True,Alessandro Romano,Account Recruiter,Sales,Sud,Senior,12,2,0,17,406401,Sud,Insurance,14/07/2025,Enterprise,Executive Search Italia,Finance,Sud
27,536,268,5,12/06/2024,16/06/2024,Chiusa,Bassa,2300,5060,28060,4,False,Alessandro Romano,Account Recruiter,Sales,Sud,Senior,12,2,0,17,406401,Sud,Insurance,14/07/2025,Enterprise,Global Recruitment Services,Sales,Sud
28,477,248,5,15/06/2024,17/06/2024,Conclusa,Bassa,3436,75592,419192,2,False,Alessandro Romano,Account Recruiter,Sales,Sud,Senior,12,2,0,17,406401,Sud,IT,05/07/2025,Enterprise,Global Recruitment Services,Sales,Sud
29,581,219,6,05/01/2025,21/01/2025,Completata,Media,7829,172238,955138,16,False,Sara Colombo,Recruiter,IT,Nord,Junior,5,5,1,454064,118768,Centro,Reinsurance,26/02/2026,Enterprise,Strategic Search Partners,Finance,Centro
30,432,137,6,07/02/2024,24/02/2024,Chiusa,Alta,14104,310288,1720688,17,False,Sara Colombo,Recruiter,IT,Nord,Junior,5,5,1,454064,118768,Centro,Real Estate,07/10/2025,Medium,People First Consulting,Compliance,Centro
31,238,124,6,17/09/2024,12/10/2024,Conclusa,Alta,13823,304106,1686406,25,True,Sara Colombo,Recruiter,IT,Nord,Junior,5,5,1,454064,118768,Centro,Consulting,22/03/2024,Medium,Recruiting Solutions,Sales,Centro
32,508,211,6,26/09/2024,01/10/2024,Completata,Bassa,3875,8525,47275,5,False,Sara Colombo,Recruiter,IT,Nord,Junior,5,5,1,454064,118768,Centro,Consulting,13/10/2025,Enterprise,Talent Partners,Finance,Centro
33,491,569,6,08/10/2024,18/11/2024,Chiusa,Alta,13100,28820,159820,41,True,Sara Colombo,Recruiter,IT,Nord,Junior,5,5,1,454064,118768,Centro,Reinsurance,03/06/2026,Enterprise,Strategic Search Partners,Finance,Centro
34,589,32,7,08/08/2025,29/08/2025,Conclusa,Media,7885,17347,96197,21,True,Davide Ricci,Senior Recruiter,Finance,Centro,Mid,8,1,0,12,433188,Centro,Consulting,29/09/2025,Enterprise,HR Consulting Group,Compliance,Centro
35,106,211,7,26/04/2025,07/05/2025,Completata,Media,7618,167596,929396,11,False,Davide Ricci,Senior Recruiter,Finance,Centro,Mid,8,1,0,12,433188,Centro,Consulting,31/10/2024,Small,Talent Partners,Finance,Centro
36,120,112,7,31/03/2024,18/04/2024,Chiusa,Alta,13656,300432,1666032,18,False,Davide Ricci,Senior Recruiter,Finance,Centro,Mid,8,1,0,12,433188,Centro,Consulting,06/10/2023,Small,HR Consulting Group,IT,Centro
37,298,288,7,22/10/2024,02/11/2024,Conclusa,Bassa,3005,6611,36661,11,False,Davide Ricci,Senior Recruiter,Finance,Centro,Mid,8,1,0,12,433188,Centro,Finance,10/10/2024,Medium,Global Recruitment Services,Risk Management,Centro
38,374,234,7,19/10/2025,,Assegnata,Alta,13286,292292,1620892,32,True,Davide Ricci,Senior Recruiter,Finance,Centro,Mid,8,1,0,12,433188,Centro,Consulting,13/02/2026,Medium,Recruiting Solutions,Compliance,Centro
39,41,538,7,12/06/2025,,In attesa cliente,Alta,13651,300322,1665422,45,True,Davide Ricci,Senior Recruiter,Finance,Centro,Mid,8,1,0,12,433188,Centro,IT,21/08/2024,Small,Global Recruitment Services,Sales,Centro
40,33,272,7,19/05/2024,15/06/2024,Completata,Alta,13402,294844,1635044,27,True,Davide Ricci,Senior Recruiter,Finance,Centro,Mid,8,1,0,12,433188,Centro,Consulting,11/08/2023,Small,HR Consulting Group,IT,Centro
41,487,408,7,27/03/2025,06/04/2025,Chiusa,Bassa,3550,7810,43310,10,False,Davide Ricci,Senior Recruiter,Finance,Centro,Mid,8,1,0,12,433188,Centro,IT,18/11/2025,Enterprise,Global Recruitment Services,IT,Centro
42,230,331,7,04/07/2025,26/07/2025,Conclusa,Alta,13088,287936,1596736,22,True,Davide Ricci,Senior Recruiter,Finance,Centro,Mid,8,1,0,12,433188,Centro,Reinsurance,07/06/2024,Medium,Talent Partners,IT,Centro
43,530,137,8,07/02/2025,13/02/2025,Completata,Bassa,2964,65208,361608,6,False,Elena Marino,HR Consultant,Compliance,Sud,Senior,12,4,0,33,373111,Centro,Real Estate,22/03/2026,Enterprise,People First Consulting,Compliance,Centro
44,141,333,8,08/11/2025,28/11/2025,Chiusa,Media,7064,155408,861808,20,False,Elena Marino,HR Consultant,Compliance,Sud,Senior,12,4,0,33,373111,Centro,Reinsurance,14/10/2024,Small,Executive Search Italia,Risk Management,Centro
45,99,395,8,24/08/2025,03/09/2025,Conclusa,Bassa,2932,64504,357704,10,False,Elena Marino,HR Consultant,Compliance,Sud,Senior,12,4,0,33,373111,Centro,Real Estate,19/10/2023,Small,Career Advisory,Finance,Centro
46,111,241,8,07/04/2025,13/04/2025,Completata,Bassa,2399,52778,292678,6,False,Elena Marino,HR Consultant,Compliance,Sud,Senior,12,4,0,33,373111,Centro,Consulting,03/11/2023,Small,Talent Partners,IT,Centro
47,240,282,9,18/06/2025,27/06/2025,Chiusa,Bassa,3639,80058,443958,9,False,Matteo Greco,Talent Acquisition Specialist,Risk Management,Nord,Junior,5,7,1,427635,111124,Sud,Finance,16/06/2024,Medium,HR Consulting Group,Risk Management,Sud
48,135,162,9,23/07/2025,12/08/2025,Conclusa,Media,7816,171952,953552,20,False,Matteo Greco,Talent Acquisition Specialist,Risk Management,Nord,Junior,5,7,1,427635,111124,Sud,Consulting,09/03/2024,Small,HR Consulting Group,Compliance,Sud
49,346,214,9,23/09/2024,12/10/2024,Completata,Media,6210,13662,75762,19,False,Matteo Greco,Talent Acquisition Specialist,Risk Management,Nord,Junior,5,7,1,427635,111124,Sud,Finance,04/12/2025,Medium,Recruiting Solutions,Compliance,Sud
50,209,119,9,14/10/2024,19/10/2024,Chiusa,Bassa,3904,85888,476288,5,False,Matteo Greco,Talent Acquisition Specialist,Risk Management,Nord,Junior,5,7,1,427635,111124,Sud,Consulting,26/12/2023,Medium,Strategic Search Partners,Sales,Sud
51,183,116,9,13/02/2024,24/02/2024,Conclusa,Media,7740,17028,94428,11,False,Matteo Greco,Talent Acquisition Specialist,Risk Management,Nord,Junior,5,7,1,427635,111124,Sud,IT,07/12/2023,Small,Alpha Talent Network,Risk Management,Sud
52,345,78,10,10/10/2025,12/10/2025,Completata,Bassa,2259,49698,275598,2,False,Valentina Bruno,Account Recruiter,Sales,Centro,Mid,8,3,0,38,42567,Sud,Insurance,05/07/2025,Medium,Global Recruitment Services,Sales,Sud
53,410,277,10,14/01/2024,,In valutazione,Alta,13889,305558,1694458,34,True,Valentina Bruno,Account Recruiter,Sales,Centro,Mid,8,3,0,38,42567,Sud,Consulting,16/06/2026,Medium,People First Consulting,Risk Management,Sud
54,60,217,10,21/06/2025,25/06/2025,Chiusa,Bassa,2934,64548,357948,4,False,Valentina Bruno,Account Recruiter,Sales,Centro,Mid,8,3,0,38,42567,Sud,IT,31/08/2024,Small,People First Consulting,Sales,Sud
55,499,327,10,25/04/2024,12/05/2024,Conclusa,Media,6906,151932,842532,17,False,Valentina Bruno,Account Recruiter,Sales,Centro,Mid,8,3,0,38,42567,Sud,Consulting,30/03/2026,Enterprise,People First Consulting,Risk Management,Sud
56,410,71,10,28/11/2025,07/12/2025,Completata,Media,6560,14432,80032,9,False,Valentina Bruno,Account Recruiter,Sales,Centro,Mid,8,3,0,38,42567,Sud,Consulting,16/06/2026,Medium,Talent Partners,Risk Management,Sud
57,69,168,11,03/08/2025,24/08/2025,Chiusa,Media,6526,143572,796172,21,True,Andrea Gallo,Recruiter,IT,Sud,Senior,12,6,0,5,408518,Nord,Consulting,20/11/2023,Small,Global Recruitment Services,Finance,Nord
58,359,190,11,06/04/2025,30/04/2025,Conclusa,Media,7827,172194,954894,24,True,Andrea Gallo,Recruiter,IT,Sud,Senior,12,6,0,5,408518,Nord,Insurance,03/06/2026,Medium,NextGen Talent Advisors,Sales,Nord
59,434,20,11,06/07/2024,29/07/2024,Completata,Media,7521,165462,917562,23,True,Andrea Gallo,Recruiter,IT,Sud,Senior,12,6,0,5,408518,Nord,IT,01/01/2025,Medium,NextGen Talent Advisors,Finance,Nord
60,367,550,11,17/04/2024,25/04/2024,Chiusa,Media,6331,139282,772382,8,False,Andrea Gallo,Recruiter,IT,Sud,Senior,12,6,0,5,408518,Nord,Finance,30/03/2026,Medium,NextGen Talent Advisors,Finance,Nord
61,271,152,11,31/03/2024,07/04/2024,Conclusa,Bassa,2091,46002,255102,7,False,Andrea Gallo,Recruiter,IT,Sud,Senior,12,6,0,5,408518,Nord,Insurance,22/09/2024,Medium,HR Consulting Group,Compliance,Nord
62,430,198,12,30/06/2025,25/07/2025,Completata,Media,7328,161216,894016,25,True,Chiara Conti,Senior Recruiter,Finance,Nord,Junior,5,2,0,4,450703,Nord,Consulting,17/02/2026,Medium,Global Recruitment Services,Compliance,Nord
63,309,294,12,27/03/2024,05/05/2024,Chiusa,Alta,13977,307494,1705194,39,True,Chiara Conti,Senior Recruiter,Finance,Nord,Junior,5,2,0,4,450703,Nord,Consulting,03/05/2026,Medium,Recruiting Solutions,Risk Management,Nord
64,254,437,12,27/01/2025,09/02/2025,Conclusa,Media,7093,156046,865346,13,False,Chiara Conti,Senior Recruiter,Finance,Nord,Junior,5,2,0,4,450703,Nord,Real Estate,04/11/2023,Medium,People First Consulting,Sales,Nord
65,505,570,12,18/09/2025,08/10/2025,Completata,Alta,14348,315656,1750456,20,False,Chiara Conti,Senior Recruiter,Finance,Nord,Junior,5,2,0,4,450703,Nord,Consulting,17/07/2026,Enterprise,NextGen Talent Advisors,IT,Nord
66,363,320,12,18/07/2024,18/08/2024,Chiusa,Alta,14385,31647,175497,31,True,Chiara Conti,Senior Recruiter,Finance,Nord,Junior,5,2,0,4,450703,Nord,Finance,01/12/2025,Medium,NextGen Talent Advisors,Sales,Nord
67,14,358,12,19/06/2024,02/07/2024,Conclusa,Media,7517,165374,917074,13,False,Chiara Conti,Senior Recruiter,Finance,Nord,Junior,5,2,0,4,450703,Nord,Insurance,07/05/2024,Small,Global Recruitment Services,IT,Nord
68,43,537,12,11/04/2025,10/05/2025,Completata,Alta,13448,295856,1640656,29,True,Chiara Conti,Senior Recruiter,Finance,Nord,Junior,5,2,0,4,450703,Nord,Consulting,29/05/2024,Small,People First Consulting,IT,Nord
69,352,355,12,23/09/2024,08/10/2024,Chiusa,Media,7366,162052,898652,15,False,Chiara Conti,Senior Recruiter,Finance,Nord,Junior,5,2,0,4,450703,Nord,Consulting,11/11/2025,Medium,Career Advisory,Risk Management,Nord
70,361,279,12,25/02/2025,16/03/2025,Conclusa,Media,6987,153714,852414,19,False,Chiara Conti,Senior Recruiter,Finance,Nord,Junior,5,2,0,4,450703,Nord,Real Estate,13/11/2025,Medium,Strategic Search Partners,Risk Management,Nord
71,41,94,13,16/11/2024,18/11/2024,Completata,Bassa,3323,73106,405406,2,False,Federico De Luca,HR Consultant,Compliance,Centro,Mid,8,5,0,62,437696,Centro,IT,21/08/2024,Small,Recruiting Solutions,Compliance,Centro
72,299,411,13,10/03/2024,17/03/2024,Chiusa,Bassa,2199,48378,268278,7,False,Federico De Luca,HR Consultant,Compliance,Centro,Mid,8,5,0,62,437696,Centro,Insurance,26/09/2024,Medium,Talent Partners,Sales,Centro
73,395,462,13,27/07/2024,19/08/2024,Conclusa,Media,6545,14399,79849,23,True,Federico De Luca,HR Consultant,Compliance,Centro,Mid,8,5,0,62,437696,Centro,Insurance,20/03/2026,Medium,HR Consulting Group,Finance,Centro
74,336,498,13,03/02/2024,19/02/2024,Completata,Media,6512,143264,794464,16,False,Federico De Luca,HR Consultant,Compliance,Centro,Mid,8,5,0,62,437696,Centro,Consulting,30/01/2026,Medium,Global Recruitment Services,Finance,Centro
75,344,312,13,22/08/2025,29/08/2025,Chiusa,Bassa,2114,46508,257908,7,False,Federico De Luca,HR Consultant,Compliance,Centro,Mid,8,5,0,62,437696,Centro,Real Estate,16/06/2026,Medium,HR Consulting Group,Risk Management,Centro
76,392,26,13,28/01/2025,08/02/2025,Conclusa,Media,7579,166738,924638,11,False,Federico De Luca,HR Consultant,Compliance,Centro,Mid,8,5,0,62,437696,Centro,Consulting,09/02/2026,Medium,Alpha Talent Network,Risk Management,Centro
77,416,552,13,15/10/2025,,In lavorazione,Alta,13116,288552,1600152,31,True,Federico De Luca,HR Consultant,Compliance,Centro,Mid,8,5,0,62,437696,Centro,Finance,17/03/2025,Medium,HR Consulting Group,Compliance,Centro
78,176,137,14,02/01/2025,14/01/2025,Completata,Media,6811,149842,830942,12,False,Martina Mancini,Talent Acquisition Specialist,Risk Management,Sud,Senior,12,1,0,8,392238,Centro,IT,08/06/2023,Small,People First Consulting,Compliance,Centro
79,350,65,14,20/02/2024,24/02/2024,Chiusa,Bassa,2733,60126,333426,4,False,Martina Mancini,Talent Acquisition Specialist,Risk Management,Sud,Senior,12,1,0,8,392238,Centro,Consulting,17/03/2025,Medium,Career Advisory,Compliance,Centro
80,581,203,14,11/07/2025,20/07/2025,Conclusa,Bassa,2330,5126,28426,9,False,Martina Mancini,Talent Acquisition Specialist,Risk Management,Sud,Senior,12,1,0,8,392238,Centro,Reinsurance,26/02/2026,Enterprise,Executive Search Italia,Sales,Centro
81,370,102,14,24/09/2024,13/10/2024,Completata,Media,7144,157168,871568,19,False,Martina Mancini,Talent Acquisition Specialist,Risk Management,Sud,Senior,12,1,0,8,392238,Centro,Reinsurance,17/08/2025,Medium,HR Consulting Group,IT,Centro
82,403,342,14,04/04/2025,19/04/2025,Chiusa,Media,7158,157476,873276,15,False,Martina Mancini,Talent Acquisition Specialist,Risk Management,Sud,Senior,12,1,0,8,392238,Centro,Finance,13/08/2025,Medium,HR Consulting Group,IT,Centro
83,427,595,15,16/04/2024,27/04/2024,Conclusa,Bassa,3991,87802,486902,11,False,Simone Costa,Account Recruiter,Sales,Nord,Junior,5,4,0,8,464983,Sud,Consulting,13/11/2025,Medium,Career Advisory,IT,Sud
84,404,269,15,29/09/2025,18/10/2025,Completata,Media,7986,175692,974292,19,False,Simone Costa,Account Recruiter,Sales,Nord,Junior,5,4,0,8,464983,Sud,Consulting,14/07/2025,Medium,Strategic Search Partners,Risk Management,Sud
85,320,547,15,01/04/2024,20/04/2024,Chiusa,Media,7955,17501,97051,19,False,Simone Costa,Account Recruiter,Sales,Nord,Junior,5,4,0,8,464983,Sud,IT,29/01/2026,Medium,People First Consulting,Compliance,Sud
86,28,587,15,25/04/2025,04/05/2025,Conclusa,Media,6658,146476,812276,9,False,Simone Costa,Account Recruiter,Sales,Nord,Junior,5,4,0,8,464983,Sud,Finance,08/11/2024,Small,People First Consulting,Risk Management,Sud
87,452,527,15,07/07/2024,17/07/2024,Completata,Bassa,3364,74008,410408,10,False,Simone Costa,Account Recruiter,Sales,Nord,Junior,5,4,0,8,464983,Sud,IT,29/01/2026,Enterprise,People First Consulting,Compliance,Sud
88,181,464,16,07/01/2025,29/01/2025,Chiusa,Media,6558,144276,800076,22,True,Laura Lombardi,Recruiter,IT,Centro,Mid,8,7,0,88,403515,Sud,Reinsurance,26/01/2023,Small,Recruiting Solutions,Compliance,Sud
89,574,471,16,13/08/2024,23/08/2024,Conclusa,Bassa,2219,48818,270718,10,False,Laura Lombardi,Recruiter,IT,Centro,Mid,8,7,0,88,403515,Sud,Insurance,13/10/2025,Enterprise,Talent Partners,Compliance,Sud
90,419,338,16,14/04/2025,24/04/2025,Completata,Media,6234,137148,760548,10,False,Laura Lombardi,Recruiter,IT,Centro,Mid,8,7,0,88,403515,Sud,Real Estate,05/12/2025,Medium,Global Recruitment Services,Compliance,Sud
91,448,354,16,28/08/2024,02/09/2024,Chiusa,Bassa,2289,50358,279258,5,False,Laura Lombardi,Recruiter,IT,Centro,Mid,8,7,0,88,403515,Sud,Real Estate,14/02/2025,Medium,Recruiting Solutions,Compliance,Sud
92,156,467,16,08/06/2024,18/06/2024,Conclusa,Bassa,3086,67892,376492,10,False,Laura Lombardi,Recruiter,IT,Centro,Mid,8,7,0,88,403515,Sud,Consulting,14/01/2024,Small,People First Consulting,Risk Management,Sud
93,220,167,17,24/08/2025,04/09/2025,Completata,Bassa,2635,5797,32147,11,False,Stefano Moretti,Senior Recruiter,Finance,Sud,Senior,12,3,0,25,40922,Nord,Finance,17/08/2024,Medium,People First Consulting,Risk Management,Nord
94,180,456,17,02/05/2025,08/05/2025,Chiusa,Bassa,3663,80586,446886,6,False,Stefano Moretti,Senior Recruiter,Finance,Sud,Senior,12,3,0,25,40922,Nord,Finance,27/02/2024,Small,Alpha Talent Network,IT,Nord
95,162,382,17,13/02/2024,23/02/2024,Conclusa,Media,7144,157168,871568,10,False,Stefano Moretti,Senior Recruiter,Finance,Sud,Senior,12,3,0,25,40922,Nord,Consulting,12/02/2023,Small,HR Consulting Group,Risk Management,Nord
96,351,461,17,13/09/2025,19/09/2025,Completata,Bassa,2365,5203,28853,6,False,Stefano Moretti,Senior Recruiter,Finance,Sud,Senior,12,3,0,25,40922,Nord,Consulting,13/03/2025,Medium,Talent Partners,Sales,Nord
97,204,583,17,20/10/2024,28/10/2024,Chiusa,Media,6438,141636,785436,8,False,Stefano Moretti,Senior Recruiter,Finance,Sud,Senior,12,3,0,25,40922,Nord,Finance,13/02/2024,Medium,Executive Search Italia,IT,Nord
98,159,122,18,26/07/2025,,Assegnata,Alta,13415,29513,163663,34,True,Silvia Barbieri,HR Consultant,Compliance,Nord,Junior,5,6,1,460667,111211,Nord,Consulting,01/06/2023,Small,HR Consulting Group,IT,Nord
99,454,110,18,11/06/2025,18/06/2025,Conclusa,Bassa,3008,66176,366976,7,False,Silvia Barbieri,HR Consultant,Compliance,Nord,Junior,5,6,1,460667,111211,Nord,Reinsurance,25/09/2025,Enterprise,NextGen Talent Advisors,Sales,Nord
100,145,564,18,13/12/2025,01/01/2026,Completata,Alta,13661,300542,1666642,19,False,Silvia Barbieri,HR Consultant,Compliance,Nord,Junior,5,6,1,460667,111211,Nord,IT,18/07/2024,Small,Recruiting Solutions,Finance,Nord
101,356,258,18,02/08/2024,19/08/2024,Chiusa,Alta,13649,300278,1665178,17,False,Silvia Barbieri,HR Consultant,Compliance,Nord,Junior,5,6,1,460667,111211,Nord,Insurance,10/11/2025,Medium,Global Recruitment Services,Risk Management,Nord
102,534,305,18,15/08/2025,06/09/2025,Conclusa,Alta,13611,299442,1660542,22,True,Silvia Barbieri,HR Consultant,Compliance,Nord,Junior,5,6,1,460667,111211,Nord,Real Estate,30/01/2026,Enterprise,Career Advisory,Finance,Nord
103,274,174,19,26/04/2024,25/05/2024,Completata,Alta,13294,292468,1621868,29,True,Gabriele Fontana,Talent Acquisition Specialist,Risk Management,Centro,Mid,8,2,0,25,434628,Centro,Consulting,20/02/2024,Medium,Recruiting Solutions,Compliance,Centro
104,493,397,19,20/02/2025,24/02/2025,Chiusa,Bassa,2527,55594,308294,4,False,Gabriele Fontana,Talent Acquisition Specialist,Risk Management,Centro,Mid,8,2,0,25,434628,Centro,Reinsurance,13/11/2025,Enterprise,People First Consulting,Compliance,Centro
105,299,25,19,22/01/2024,03/02/2024,Conclusa,Media,7675,16885,93635,12,False,Gabriele Fontana,Talent Acquisition Specialist,Risk Management,Centro,Mid,8,2,0,25,434628,Centro,Insurance,26/09/2024,Medium,Career Advisory,Risk Management,Centro
106,493,91,19,11/04/2025,19/04/2025,Completata,Bassa,3070,6754,37454,8,False,Gabriele Fontana,Talent Acquisition Specialist,Risk Management,Centro,Mid,8,2,0,25,434628,Centro,Reinsurance,13/11/2025,Enterprise,Talent Partners,Finance,Centro
107,590,407,20,09/06/2025,01/07/2025,Chiusa,Alta,12673,278806,1546106,22,True,Anna Rossi,Account Recruiter,Sales,Sud,Senior,12,5,0,42,389098,Nord,Insurance,09/02/2026,Enterprise,People First Consulting,Sales,Nord
108,367,110,20,04/12/2025,08/12/2025,Conclusa,Bassa,2929,64438,357338,4,False,Anna Rossi,Account Recruiter,Sales,Sud,Senior,12,5,0,42,389098,Nord,Finance,30/03/2026,Medium,NextGen Talent Advisors,Sales,Nord
109,53,258,20,14/05/2025,18/05/2025,Completata,Bassa,3386,74492,413092,4,False,Anna Rossi,Account Recruiter,Sales,Sud,Senior,12,5,0,42,389098,Nord,Finance,22/11/2024,Small,Global Recruitment Services,Risk Management,Nord
110,145,379,20,05/04/2024,18/04/2024,Chiusa,Media,6553,144166,799466,13,False,Anna Rossi,Account Recruiter,Sales,Sud,Senior,12,5,0,42,389098,Nord,IT,18/07/2024,Small,Strategic Search Partners,Risk Management,Nord
111,599,170,21,10/03/2024,,In attesa cliente,Alta,13297,292534,1622234,44,True,Marco Ferrari,Recruiter,IT,Nord,Junior,5,1,0,2,454642,Sud,Insurance,29/04/2025,Enterprise,NextGen Talent Advisors,Finance,Sud
